RUC;RAZON SOCIAL;NAME_SOUND;sadsad
1317572;EMPRESA DE PROTECCION INDUSTRIAL GREM;EMPRESA_DE_PROTECCION_INDUSTRIAL_GREM_SOCIEDAD_ANONIMA_CERRADA;37
6461801;EMPRESA DE TRANSPORTES Y CARGA SABAOT;EMPRESA_DE_TRANSPORTES_Y_CARGA_SABAOT;37
8447772;FACTOR GROUP SOLUCIONES INMOBILIARIAS;FACTOR_GROUP_SOLUCIONES_INMOBILIARIAS;37
3075731;INNOVACIONES INDUSTRIALES Y SERVICIOS;INNOVACIONES_INDUSTRIALES_Y_SERVICIOS_E_I_ERE_ELE;37
2509353;INSUMOS SERVICIOS MANTENIMIENTO J & M;INSUMOS_SERVICIOS_&_MANTENIMIENTO_J_&_M;37
4400440;INVERSIONES SERVICIOS LOGISTICA MAJES;INVERSIONES_SERVICIOS_Y_LOGISTICA_MAJES;37
4692266;INVERSIONES Y SERVICIOS GENERALES JBM;INVERSIONES_Y_SERVICIOS_GENERALES_JOTA_BE_EME_ESE_A_CEE;37
8245759;JUNTA DE PROPIETARIOS EDIFICIO GABINO;JUNTA_DE_PROPIETARIOS_DEL_EDIFICIO_GABINO;37
2167410;MANTENIMIENTO PREDICTIVO Y TECNOLOGÍA;INGENIERIA_EN_MANTENIMIENTO_PREDICTIVO_Y_TECNOLOGIA;37
2075300;MUNICIPAL URBANIZADORA Y CONSTRUCTORA;EMPRESA_MUNICIPAL_URBANIZADORA;37
6436502;MUNICIPALIDAD DISTRITAL DE COTABAMBAS;MUNICIPALIDAD_DISTRITAL_DE_COTABAMBAS;37
6479635;MUNICIPALIDAD DISTRITAL DE SAN ANDRES;MUNICIPALIDAD_DISTRITAL_SAN_ANDRES;37
1423009;MUNICIPALIDAD DISTRITAL MASMA CHICCHE;MUNICIPALIDAD_DISTRITAL_DE_MASMA_CHICCHE;37
5438929;MUNICIPALIDADCIPALIDAD DE SAN BARTOLO;MUNICIPALIDAD_DE_SAN_BARTOLO;37
8860005;SERVICIOS OPTICOS OFTALMOLOGIA ROMERO;SERVICIOS_OPTICOS_Y_OFTALMOLOGIA_ROMERO;37
6872051;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL;UNIVERSIDAD_NACIONAL_DE_SAN_CRISTOBAL;37
5098148;WARRY TELECOMUNICACIONES ELECTRICIDAD;WARRY_TELECOMUNICACIONES_Y_ELECTRICIDAD;37
3239839;CENTRO DE ATENCION TEMPRANA DINOBEBE;CENTRO_DE_ATENCION_TEMPRANA_DINOBEBE;36
7739767;CIRUJANOS SEMINARIOS Y GIL ASOCIADOS;CIRUJANOS_SEMINARIOS_Y_GIL_ASOCIADOS;36
1202279;CONSTRUCTORA E INMOBILIARIA CROSETTI;CONSTRUCTORA_E_INMOBILIARIA_CROSETTI;36
5586498;GRUPO MENH CONSTRUCTORA Y CONSULTORA;GRUPO_MENH_CONSTRUCTORA_Y_CONSULTORA;36
6985263;IMPORTACIONES Y NEGOCIOS LA COLONIAL;IMPORTACIONES_Y_NEGOCIOS_LA_COLONIAL;36
4051537;INDUSTRIAS NACIONALES DE EXPORTACION;INDUSTRIAS_NACIONALES_DE_EXPORTACION;36
5547501;INGENIERIA DE PROYECTOS Y DESARROLLO;INGENIERIA_DE_PROYECTOS_Y_DESARROLLO;36
7354702;INVERSIONES & NEGOCIACIONES EL AMIGO;INVERSIONES_NEGOCIACIONES_EL_AMIGO;36
6193017;INVERSIONES Y CONSTRUCCIONES CONCASA;INVERSIONES_Y_CONSTRUCCIONES_CONCASA;36
